split,acquisition_group,csv_file,mask_available_to_model,mask_source_file
train,class1,class1_2026_04_27_14_38_15.csv,True,class1_2026_04_27_14_38_15.mask.json
train,class1,class1_2026_04_27_14_47_43.csv,True,class1_2026_04_27_14_47_43.mask.json
train,class1,class1_2026_04_27_14_45_04.csv,True,class1_2026_04_27_14_45_04.mask.json
train,class1,class1_2026_04_27_14_39_28.csv,True,class1_2026_04_27_14_39_28.mask.json
train,class1,class1_2026_04_27_14_37_22.csv,True,class1_2026_04_27_14_37_22.mask.json
train,class1,class1_2026_04_27_14_48_45.csv,True,class1_2026_04_27_14_48_45.mask.json
train,class1,class1_2026_04_27_14_47_13.csv,True,class1_2026_04_27_14_47_13.mask.json
train,class1,class1_2026_04_27_14_49_30.csv,True,class1_2026_04_27_14_49_30.mask.json
train,class1,class1_2026_04_27_14_38_20.csv,True,class1_2026_04_27_14_38_20.mask.json
train,class1,class1_2026_04_27_14_47_50.csv,True,class1_2026_04_27_14_47_50.mask.json
train,class1,class1_2026_04_27_14_37_34.csv,True,class1_2026_04_27_14_37_34.mask.json
train,class1,class1_2026_04_27_14_45_33.csv,True,class1_2026_04_27_14_45_33.mask.json
train,class1,class1_2026_04_27_14_45_10.csv,True,class1_2026_04_27_14_45_10.mask.json
train,class1,class1_2026_04_27_14_38_57.csv,True,class1_2026_04_27_14_38_57.mask.json
train,class1,class1_2026_04_27_14_38_31.csv,True,class1_2026_04_27_14_38_31.mask.json
train,class1,class1_2026_04_27_14_47_25.csv,True,class1_2026_04_27_14_47_25.mask.json
train,class1,class1_2026_04_27_14_39_17.csv,True,class1_2026_04_27_14_39_17.mask.json
train,class1,class1_2026_04_27_14_46_41.csv,True,class1_2026_04_27_14_46_41.mask.json
train,class1,class1_2026_04_27_14_47_19.csv,True,class1_2026_04_27_14_47_19.mask.json
train,class1,class1_2026_04_27_14_49_15.csv,True,class1_2026_04_27_14_49_15.mask.json
train,class1,class1_2026_04_27_14_38_38.csv,True,class1_2026_04_27_14_38_38.mask.json
train,class1,class1_2026_04_27_14_39_11.csv,True,class1_2026_04_27_14_39_11.mask.json
train,class1,class1_2026_04_27_14_37_46.csv,True,class1_2026_04_27_14_37_46.mask.json
train,class1,class1_2026_04_27_14_46_48.csv,True,class1_2026_04_27_14_46_48.mask.json
train,class1,class1_2026_04_27_14_48_51.csv,True,class1_2026_04_27_14_48_51.mask.json
train,class1,class1_2026_04_27_14_48_13.csv,True,class1_2026_04_27_14_48_13.mask.json
train,class1,class1_2026_04_27_14_49_44.csv,True,class1_2026_04_27_14_49_44.mask.json
train,class1,class1_2026_04_27_14_47_01.csv,True,class1_2026_04_27_14_47_01.mask.json
train,class1,class1_2026_04_27_14_39_22.csv,True,class1_2026_04_27_14_39_22.mask.json
train,class1,class1_2026_04_27_14_48_58.csv,True,class1_2026_04_27_14_48_58.mask.json
train,class1,class1_2026_04_27_14_37_06.csv,True,class1_2026_04_27_14_37_06.mask.json
train,class1,class1_2026_04_27_14_46_10.csv,True,class1_2026_04_27_14_46_10.mask.json
train,class1,class1_2026_04_27_14_39_05.csv,True,class1_2026_04_27_14_39_05.mask.json
train,class1,class1_2026_04_27_14_48_20.csv,True,class1_2026_04_27_14_48_20.mask.json
train,class1,class1_2026_04_27_14_37_39.csv,True,class1_2026_04_27_14_37_39.mask.json
train,class1,class1_2026_04_27_14_36_42.csv,True,class1_2026_04_27_14_36_42.mask.json
train,class1,class1_2026_04_27_14_38_26.csv,True,class1_2026_04_27_14_38_26.mask.json
train,class1,class1_2026_04_27_14_48_26.csv,True,class1_2026_04_27_14_48_26.mask.json
train,class1,class1_2026_04_27_14_44_55.csv,True,class1_2026_04_27_14_44_55.mask.json
train,class1,class1_2026_04_27_14_47_36.csv,True,class1_2026_04_27_14_47_36.mask.json
train,class1,class1_2026_04_27_14_39_34.csv,True,class1_2026_04_27_14_39_34.mask.json
train,class1,class1_2026_04_27_14_48_38.csv,True,class1_2026_04_27_14_48_38.mask.json
train,class1,class1_2026_04_27_14_46_55.csv,True,class1_2026_04_27_14_46_55.mask.json
train,class1,class1_2026_04_27_14_37_52.csv,True,class1_2026_04_27_14_37_52.mask.json
train,class1,class1_2026_04_27_14_49_38.csv,True,class1_2026_04_27_14_49_38.mask.json
train,class1,class1_2026_04_27_14_47_57.csv,True,class1_2026_04_27_14_47_57.mask.json
train,class1,class1_2026_04_27_14_46_34.csv,True,class1_2026_04_27_14_46_34.mask.json
val,class1,class1_2026_04_27_14_45_26.csv,True,class1_2026_04_27_14_45_26.mask.json
val,class1,class1_2026_04_27_14_49_22.csv,True,class1_2026_04_27_14_49_22.mask.json
val,class1,class1_2026_04_27_14_38_03.csv,True,class1_2026_04_27_14_38_03.mask.json
val,class1,class1_2026_04_27_14_48_32.csv,True,class1_2026_04_27_14_48_32.mask.json
