split,csv_file,source_acquisition_group,has_bend,has_connector,has_break,mask_copied,original_mask
test,class1_2026_04_27_14_36_54.csv,class1,0,1,1,False,class1_2026_04_27_14_36_54.mask.json
test,class1_2026_04_27_14_37_22.csv,class1,0,1,1,False,class1_2026_04_27_14_37_22.mask.json
test,class1_2026_04_27_14_37_52.csv,class1,0,1,1,False,class1_2026_04_27_14_37_52.mask.json
test,class1_2026_04_27_14_38_26.csv,class1,0,1,1,False,class1_2026_04_27_14_38_26.mask.json
test,class1_2026_04_27_14_39_11.csv,class1,0,1,1,False,class1_2026_04_27_14_39_11.mask.json
test,class1_2026_04_27_14_43_57.csv,class1,0,1,1,False,class1_2026_04_27_14_43_57.mask.json
test,class1_2026_04_27_14_45_26.csv,class1,0,1,1,False,class1_2026_04_27_14_45_26.mask.json
test,class1_2026_04_27_14_46_27.csv,class1,0,1,1,False,class1_2026_04_27_14_46_27.mask.json
test,class1_2026_04_27_14_47_01.csv,class1,0,1,1,False,class1_2026_04_27_14_47_01.mask.json
test,class1_2026_04_27_14_47_31.csv,class1,0,1,1,False,class1_2026_04_27_14_47_31.mask.json
test,class1_2026_04_27_14_48_13.csv,class1,0,1,1,False,class1_2026_04_27_14_48_13.mask.json
test,class1_2026_04_27_14_48_45.csv,class1,0,1,1,False,class1_2026_04_27_14_48_45.mask.json
test,class1_2026_04_27_14_49_22.csv,class1,0,1,1,False,class1_2026_04_27_14_49_22.mask.json
test,class2_2026_04_27_15_12_17.csv,class2,0,1,1,False,class2_2026_04_27_15_12_17.mask.json
test,class2_2026_04_27_15_13_34.csv,class2,1,1,1,False,class2_2026_04_27_15_13_34.mask.json
test,class2_2026_04_27_15_15_03.csv,class2,1,1,1,False,class2_2026_04_27_15_15_03.mask.json
test,class2_2026_04_27_15_16_41.csv,class2,1,1,1,False,class2_2026_04_27_15_16_41.mask.json
test,class2_2026_04_27_15_18_27.csv,class2,1,1,1,False,class2_2026_04_27_15_18_27.mask.json
test,class2_2026_04_27_15_20_26.csv,class2,1,1,1,False,class2_2026_04_27_15_20_26.mask.json
test,class2_2026_04_27_15_21_31.csv,class2,1,1,1,False,class2_2026_04_27_15_21_31.mask.json
test,class2_2026_04_27_15_23_09.csv,class2,1,1,1,False,class2_2026_04_27_15_23_09.mask.json
test,class2_2026_04_27_15_24_25.csv,class2,1,1,1,False,class2_2026_04_27_15_24_25.mask.json
test,class2_2026_04_27_15_25_18.csv,class2,1,1,1,False,class2_2026_04_27_15_25_18.mask.json
test,class2_2026_04_27_15_26_28.csv,class2,1,1,1,False,class2_2026_04_27_15_26_28.mask.json
test,class2_2026_04_27_15_28_02.csv,class2,1,1,1,False,class2_2026_04_27_15_28_02.mask.json
test,class2_2026_04_27_15_29_31.csv,class2,1,1,1,False,class2_2026_04_27_15_29_31.mask.json
test,class2_2026_04_27_15_30_46.csv,class2,1,1,1,False,class2_2026_04_27_15_30_46.mask.json
test,class2_2026_04_27_15_32_19.csv,class2,1,1,1,False,class2_2026_04_27_15_32_19.mask.json
test,class2_2026_04_27_15_33_39.csv,class2,1,1,1,False,class2_2026_04_27_15_33_39.mask.json
test,class2_2026_04_27_15_34_41.csv,class2,1,1,1,False,class2_2026_04_27_15_34_41.mask.json
test,class2_2026_04_27_15_35_57.csv,class2,1,1,1,False,class2_2026_04_27_15_35_57.mask.json
test,class2_2026_04_27_15_37_07.csv,class2,1,1,1,False,class2_2026_04_27_15_37_07.mask.json
test,class2_2026_04_27_15_38_20.csv,class2,1,1,1,False,class2_2026_04_27_15_38_20.mask.json
test,class2_2026_04_27_15_39_04.csv,class2,1,1,1,False,class2_2026_04_27_15_39_04.mask.json
test,class2_2026_04_27_15_40_11.csv,class2,1,1,1,False,class2_2026_04_27_15_40_11.mask.json
test,class2_2026_04_27_15_41_16.csv,class2,1,1,1,False,class2_2026_04_27_15_41_16.mask.json
test,class2_2026_04_27_15_42_44.csv,class2,1,1,1,False,class2_2026_04_27_15_42_44.mask.json
test,class2_2026_04_27_15_43_45.csv,class2,1,1,1,False,class2_2026_04_27_15_43_45.mask.json
test,class2_2026_04_27_15_44_01.csv,class2,1,0,1,False,class2_2026_04_27_15_44_01.mask.json
test,class2_2026_04_27_15_45_10.csv,class2,1,1,1,False,class2_2026_04_27_15_45_10.mask.json
test,class2_2026_04_27_15_46_27.csv,class2,1,1,1,False,class2_2026_04_27_15_46_27.mask.json
test,class2_2026_04_27_15_47_36.csv,class2,1,1,1,False,class2_2026_04_27_15_47_36.mask.json
test,class2_2026_04_27_15_48_47.csv,class2,1,1,1,False,class2_2026_04_27_15_48_47.mask.json
test,class2_2026_04_27_15_50_20.csv,class2,1,1,1,False,class2_2026_04_27_15_50_20.mask.json
test,class2_2026_04_27_15_51_31.csv,class2,1,1,1,False,class2_2026_04_27_15_51_31.mask.json
test,class2_2026_04_27_15_53_06.csv,class2,1,1,1,False,class2_2026_04_27_15_53_06.mask.json
test,class2_2026_04_27_15_54_02.csv,class2,1,1,1,False,class2_2026_04_27_15_54_02.mask.json
test,class2_2026_04_27_15_57_16.csv,class2,1,1,1,False,class2_2026_04_27_15_57_16.mask.json
test,class2_2026_04_27_15_58_52.csv,class2,1,1,1,False,class2_2026_04_27_15_58_52.mask.json
test,class2_2026_04_27_16_00_02.csv,class2,1,1,1,False,class2_2026_04_27_16_00_02.mask.json
test,class2_2026_04_27_16_01_24.csv,class2,1,1,1,False,class2_2026_04_27_16_01_24.mask.json
test,class2_2026_04_27_16_02_34.csv,class2,1,1,1,False,class2_2026_04_27_16_02_34.mask.json
test,class2_2026_04_27_16_03_45.csv,class2,1,1,1,False,class2_2026_04_27_16_03_45.mask.json
test,class2_2026_04_27_16_04_37.csv,class2,1,1,1,False,class2_2026_04_27_16_04_37.mask.json
test,class2_2026_04_27_16_05_53.csv,class2,1,1,1,False,class2_2026_04_27_16_05_53.mask.json
test,class2_2026_04_27_16_07_11.csv,class2,1,1,1,False,class2_2026_04_27_16_07_11.mask.json
test,class2_2026_04_27_16_07_58.csv,class2,1,1,1,False,class2_2026_04_27_16_07_58.mask.json
test,class2_2026_04_27_16_08_56.csv,class2,1,1,1,False,class2_2026_04_27_16_08_56.mask.json
test,class2_2026_04_27_16_10_06.csv,class2,1,1,1,False,class2_2026_04_27_16_10_06.mask.json
test,class2_2026_04_27_16_10_58.csv,class2,1,1,1,False,class2_2026_04_27_16_10_58.mask.json
test,class3_2026_04_27_16_18_51.csv,class3,0,1,1,False,class3_2026_04_27_16_18_51.mask.json
test,class3_2026_05_14_12_54_12.csv,class3,0,0,1,False,class3_2026_05_14_12_54_12.mask.json
test,class3_2026_05_14_12_56_02.csv,class3,0,1,1,False,class3_2026_05_14_12_56_02.mask.json
test,class3_2026_05_14_12_57_24.csv,class3,0,1,1,False,class3_2026_05_14_12_57_24.mask.json
test,class3_2026_05_14_13_00_09.csv,class3,0,1,1,False,class3_2026_05_14_13_00_09.mask.json
test,class3_2026_05_14_13_10_00.csv,class3,0,1,1,False,class3_2026_05_14_13_10_00.mask.json
