m,candidate_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,split,label,gt_m
22.016,68,0.110225,-15.751,-15.0614,0.3628,-14.6207,-14.4866,-0.1341,-0.1495,-97.522,145.6677,243.1897,-32.9154,-32.9154,-32.9154,0.2356,0.344,1.4602,0.0,1.053,class2_2026_04_27_15_49_00.csv,train,background,
105.293,329,0.527158,-17.27,-17.0163,0.3178,-16.9533,-16.9579,0.0047,0.265,14.6989,-30.2422,-44.9411,-525.0768,357.3652,-525.0768,0.328,0.3316,1.011,0.0,1.03,class2_2026_04_27_15_49_00.csv,train,background,
127.628,399,0.63898,-8.019,-10.8967,2.8616,-16.0361,-18.7596,2.7235,8.738,1129.9158,-4714.0064,-5843.9222,584.6395,9514.1066,-2719.4357,2.2706,11.6517,5.1315,2.871,8.864,class2_2026_04_27_15_49_00.csv,train,connector,127.63
129.223,404,0.646966,-11.832,-11.7762,2.1772,-13.9382,-26.6632,12.7251,8.4305,2317.191,-5957.4327,-8274.6237,-3075.2351,-1976.489,-3120.6912,3.6595,14.643,4.0014,2.871,6.779,class2_2026_04_27_15_49_00.csv,train,background,
131.457,411,0.65815,-18.552,-21.185,10.3823,-12.9442,-34.1072,21.163,3.8055,-1398.8124,-2781.1698,-1382.3573,-2746.0831,-2416.8922,-49134.7994,3.1828,14.1839,4.4565,0.0,35.712,class2_2026_04_27_15_49_00.csv,train,break,131.46
134.009,419,0.670927,-49.9,-37.1562,14.2508,-19.4862,-36.0854,16.5993,0.9665,-4576.7773,-347.3556,4229.4217,15.6755,44537.6191,-44553.2947,11.3883,13.8444,1.2157,0.0,29.404,class2_2026_04_27_15_49_00.csv,train,background,
134.966,422,0.675719,-49.9,-37.6181,13.7669,-24.5483,-36.2303,11.682,0.574,-5771.0435,-133.2982,5637.7453,-0.0,15.6755,-44894.4295,13.8625,13.7037,0.9885,0.0,28.62,class2_2026_04_27_15_49_00.csv,train,background,
136.562,427,0.683709,-24.002,-34.7191,13.6258,-31.6806,-37.5954,5.9148,3.215,-2781.1698,-598.0363,2183.1335,44924.7665,44924.7665,-44924.7665,14.6507,13.7778,0.9404,0.0,28.662,class2_2026_04_27_15_49_00.csv,train,background,
137.2,429,0.686903,-49.9,-34.9032,13.453,-32.3657,-37.6582,5.2926,3.215,-772.769,-2024.1627,-1251.3937,-44924.7665,44924.7665,-44924.7665,14.0619,13.7054,0.9746,0.0,28.662,class2_2026_04_27_15_49_00.csv,train,background,
138.476,433,0.693292,-22.937,-37.4578,13.9194,-35.9377,-36.2933,0.3556,16.3865,-689.5236,1202.0985,1891.6221,0.0,44468.6567,-45336.9937,13.9949,13.6317,0.974,0.638,28.925,class2_2026_04_27_15_49_00.csv,train,background,
