file,split,gt_m,gt_type
class2_2026_04_27_15_49_00.csv,train,52.01,bend
class2_2026_04_27_15_38_41.csv,train,70.83,bend
class2_2026_04_27_15_19_23.csv,train,115.82,bend
class2_2026_04_27_15_53_51.csv,train,62.86,bend
class2_2026_04_27_15_46_57.csv,train,48.5,bend
class3_2026_04_27_16_17_30.csv,train,37.97,bend
class2_2026_04_27_15_46_27.csv,train,47.86,bend
class3_2026_05_14_14_33_56.csv,train,97.0,connector
class2_2026_04_27_15_46_14.csv,train,46.27,bend
class2_2026_04_27_16_06_47.csv,train,34.14,bend
class2_2026_04_27_15_41_42.csv,train,42.76,bend
class3_2026_05_14_13_47_50.csv,train,68.92,bend
class3_2026_05_14_13_47_50.csv,train,35.74,connector
class3_2026_05_14_13_47_50.csv,train,66.37,connector
class2_2026_04_27_15_36_21.csv,train,79.77,bend
class3_2026_05_14_14_33_25.csv,train,4.79,connector
class2_2026_04_27_15_31_49.csv,train,89.34,bend
class2_2026_04_27_15_42_28.csv,train,44.03,bend
class2_2026_04_27_15_43_11.csv,train,44.67,bend
class2_2026_04_27_15_54_38.csv,train,64.45,bend
class2_2026_04_27_16_02_47.csv,train,15.63,bend
class2_2026_04_27_15_26_28.csv,train,103.06,bend
class2_2026_04_27_15_49_56.csv,train,56.79,bend
class2_2026_04_27_15_31_02.csv,train,89.02,bend
class2_2026_04_27_16_02_21.csv,train,16.91,bend
class3_2026_05_22_11_10_02.csv,train,35.42,connector
class3_2026_05_22_11_10_02.csv,train,66.05,connector
class3_2026_05_22_11_10_02.csv,train,96.68,connector
class3_2026_05_22_11_10_02.csv,train,74.02,bend
class2_2026_04_27_15_35_21.csv,train,83.92,bend
class2_2026_04_27_16_10_58.csv,train,34.14,bend
class2_2026_04_27_15_33_39.csv,train,86.47,bend
class2_2026_04_27_15_36_45.csv,train,78.17,bend
class2_2026_04_27_15_54_27.csv,train,64.13,bend
class2_2026_04_27_15_44_43.csv,train,45.31,bend
class2_2026_04_27_15_32_35.csv,train,88.06,bend
class2_2026_04_27_15_23_51.csv,train,108.16,bend
class2_2026_04_27_15_50_53.csv,train,57.75,bend
class2_2026_04_27_15_29_16.csv,train,93.81,bend
class2_2026_04_27_15_32_04.csv,train,85.83,bend
class2_2026_04_27_15_53_18.csv,train,61.26,bend
class3_2026_04_27_16_18_11.csv,train,35.74,connector
class3_2026_05_14_14_34_08.csv,train,96.68,connector
class2_2026_04_27_16_01_24.csv,train,11.49,bend
class2_2026_04_27_15_25_18.csv,train,105.93,bend
class3_2026_05_14_13_09_48.csv,train,35.42,connector
class2_2026_04_27_15_41_16.csv,train,37.65,bend
class3_2026_05_14_13_16_46.csv,train,66.37,connector
class3_2026_05_14_13_16_46.csv,train,35.42,connector
class2_2026_04_27_15_39_59.csv,train,68.92,bend
class3_2026_05_14_13_47_38.csv,train,97.0,connector
class2_2026_04_27_15_44_16.csv,train,40.52,bend
class2_2026_04_27_15_31_19.csv,train,95.08,bend
class2_2026_04_27_15_38_53.csv,train,70.51,bend
class3_2026_05_14_13_11_57.csv,train,35.74,connector
class2_2026_04_27_15_52_49.csv,train,60.62,bend
class3_2026_05_14_13_11_39.csv,train,35.74,connector
class2_2026_04_27_15_49_43.csv,train,52.65,bend
class2_2026_04_27_16_08_20.csv,train,27.44,bend
class2_2026_04_27_16_10_06.csv,train,29.99,bend
class3_2026_05_14_12_53_50.csv,train,10.85,bend
class2_2026_04_27_15_33_11.csv,train,82.32,bend
class2_2026_04_27_15_35_57.csv,train,81.04,bend
class3_2026_05_14_12_59_21.csv,train,96.68,connector
class3_2026_05_22_11_05_50.csv,train,66.05,connector
class2_2026_04_27_15_28_40.csv,train,94.76,bend
class3_2026_05_14_12_58_43.csv,train,35.42,connector
class2_2026_04_27_15_16_41.csv,train,120.93,bend
class2_2026_04_27_15_37_07.csv,train,74.34,bend
class2_2026_04_27_15_44_57.csv,train,41.8,bend
class2_2026_04_27_15_32_53.csv,train,87.11,bend
class3_2026_05_14_12_55_08.csv,train,66.37,connector
class2_2026_04_27_15_38_20.csv,train,72.11,bend
class2_2026_04_27_15_40_35.csv,train,67.96,bend
class2_2026_04_27_15_48_07.csv,train,53.28,bend
class3_2026_05_14_13_16_09.csv,train,66.37,connector
class3_2026_05_14_13_16_09.csv,train,35.74,connector
class2_2026_04_27_15_25_54.csv,train,103.38,bend
class3_2026_05_14_13_19_26.csv,train,97.0,connector
class3_2026_05_14_13_19_26.csv,train,35.42,connector
class2_2026_04_27_15_44_29.csv,train,41.16,bend
class2_2026_04_27_15_23_37.csv,train,100.51,bend
class2_2026_04_27_15_39_15.csv,train,69.88,bend
class2_2026_04_27_15_35_08.csv,train,79.45,bend
class2_2026_04_27_15_39_04.csv,train,73.71,bend
class2_2026_04_27_16_10_45.csv,train,29.03,bend
class2_2026_04_27_15_24_51.csv,train,107.53,bend
class2_2026_04_27_15_50_20.csv,train,54.24,bend
class3_2026_05_14_13_10_35.csv,train,66.05,connector
class3_2026_05_14_13_43_01.csv,train,38.61,bend
class3_2026_05_14_14_40_43.csv,train,97.0,connector
class3_2026_05_14_13_39_14.csv,train,66.37,connector
class2_2026_04_27_15_59_35.csv,train,8.93,bend
class2_2026_04_27_15_41_59.csv,train,39.57,bend
class2_2026_04_27_16_08_56.csv,train,32.23,bend
class2_2026_04_27_16_01_41.csv,train,14.04,bend
class3_2026_05_14_13_19_51.csv,train,35.74,connector
class3_2026_05_14_12_55_25.csv,train,66.37,connector
class2_2026_04_27_16_00_33.csv,train,12.44,bend
class3_2026_05_14_13_15_21.csv,train,35.42,connector
class3_2026_05_22_11_05_05.csv,train,39.88,bend
class3_2026_05_14_13_42_29.csv,train,35.74,connector
class2_2026_04_27_15_45_59.csv,train,46.9,bend
class2_2026_04_27_16_09_22.csv,train,31.91,bend
class3_2026_05_14_13_00_27.csv,train,97.0,connector
class2_2026_04_27_16_10_35.csv,train,32.54,bend
class2_2026_04_27_15_33_24.csv,train,84.55,bend
class3_2026_05_14_14_35_39.csv,train,66.37,connector
class2_2026_04_27_15_42_44.csv,train,38.93,bend
class2_2026_04_27_15_38_31.csv,train,75.3,bend
class2_2026_04_27_15_27_06.csv,train,101.14,bend
class3_2026_05_14_13_09_36.csv,train,35.42,connector
class2_2026_04_27_15_51_31.csv,train,58.71,bend
class2_2026_04_27_15_26_42.csv,train,101.46,bend
class2_2026_04_27_15_45_39.csv,train,47.22,bend
class2_2026_04_27_15_48_47.csv,train,55.52,bend
class2_2026_04_27_15_34_41.csv,train,74.34,bend
class2_2026_04_27_15_25_04.csv,train,104.66,bend
class2_2026_04_27_15_53_29.csv,train,62.22,bend
class2_2026_04_27_16_08_08.csv,train,27.12,bend
class3_2026_05_14_13_47_19.csv,train,35.42,connector
class2_2026_04_27_15_54_02.csv,train,63.18,bend
class2_2026_04_27_15_50_35.csv,train,56.16,bend
class2_2026_04_27_15_34_30.csv,train,84.23,bend
class2_2026_04_27_15_45_25.csv,train,45.31,bend
class2_2026_04_27_15_23_09.csv,train,100.19,bend
class2_2026_04_27_15_49_29.csv,train,55.52,bend
class2_2026_04_27_15_51_19.csv,train,58.71,bend
class3_2026_05_14_14_34_45.csv,train,68.92,bend
class2_2026_04_27_15_43_31.csv,train,43.39,bend
class2_2026_04_27_16_05_01.csv,train,33.18,bend
class2_2026_04_27_15_28_02.csv,train,96.68,bend
class2_2026_04_27_15_41_02.csv,train,37.01,bend
class2_2026_04_27_15_35_32.csv,train,82.96,bend
class2_2026_04_27_15_35_45.csv,train,80.73,bend
class2_2026_04_27_15_34_05.csv,train,84.87,bend
class2_2026_04_27_16_07_33.csv,train,33.5,bend
class2_2026_04_27_15_29_31.csv,train,92.85,bend
class2_2026_04_27_15_39_26.csv,train,73.07,bend
class3_2026_05_14_13_10_18.csv,train,66.05,connector
class2_2026_04_27_15_18_47.csv,train,117.42,bend
class3_2026_05_22_11_06_12.csv,train,72.43,bend
class2_2026_04_27_15_32_19.csv,train,89.98,bend
class2_2026_04_27_15_26_18.csv,train,104.02,bend
class3_2026_05_14_13_21_55.csv,train,97.0,connector
class3_2026_05_14_13_11_09.csv,train,66.37,connector
class2_2026_04_27_15_21_50.csv,train,110.08,bend
class3_2026_05_14_13_00_09.csv,train,96.68,connector
class2_2026_04_27_15_30_46.csv,train,90.94,bend
class3_2026_05_14_13_10_25.csv,train,66.37,connector
class2_2026_04_27_15_24_13.csv,train,107.53,bend
class2_2026_04_27_15_46_41.csv,train,47.54,bend
class3_2026_05_14_13_18_55.csv,train,36.05,connector
class2_2026_04_27_15_51_56.csv,train,65.73,bend
class2_2026_04_27_16_00_46.csv,train,12.12,bend
class2_2026_04_27_15_26_06.csv,train,104.66,bend
class2_2026_04_27_15_53_40.csv,train,62.54,bend
class3_2026_05_14_13_42_54.csv,train,37.97,bend
class3_2026_05_14_13_18_31.csv,train,97.0,connector
class3_2026_05_14_13_18_31.csv,train,35.74,connector
class2_2026_04_27_15_47_51.csv,train,50.73,bend
class2_2026_04_27_15_42_56.csv,train,37.97,bend
class2_2026_04_27_15_34_55.csv,train,82.96,bend
class2_2026_04_27_16_00_02.csv,train,10.21,bend
class2_2026_04_27_15_25_41.csv,train,103.06,bend
class2_2026_04_27_15_16_58.csv,train,118.06,bend
class2_2026_04_27_15_51_44.csv,train,66.05,bend
class3_2026_05_14_12_58_49.csv,train,35.42,connector
class2_2026_04_27_15_24_25.csv,train,107.53,bend
class2_2026_04_27_15_23_25.csv,train,99.55,bend
class2_2026_04_27_15_39_46.csv,train,67.96,bend
class2_2026_04_27_15_49_13.csv,train,52.01,bend
class2_2026_04_27_15_48_35.csv,train,52.65,bend
class2_2026_04_27_15_25_30.csv,train,98.91,bend
class2_2026_04_27_15_37_57.csv,train,75.62,bend
