m,candidate_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,split,label,gt_m,hard_negative_score,background_kind
163.044,510,0.816293,-24.517,-31.6118,12.9647,-32.8842,-35.0911,2.2069,2.9925,-64.7519,1973.7129,2038.4648,248.6579,248.6579,-44815.0486,13.5939,13.3603,0.9828,0.0,28.592,class3_2026_05_14_14_40_43.csv,train,background,,-7.898947472400314,random
137.838,431,0.690097,-49.9,-37.281,14.1411,-32.4483,-39.43,6.9817,20.1055,-2639.6419,184.9295,2824.5713,-46410.6599,46410.6599,-46410.6599,14.14,13.1571,0.9305,0.0,29.61,class2_2026_04_27_15_18_47.csv,train,background,,3.753886025958086,hard
135.604,424,0.678913,-49.9,-34.1422,14.1267,-25.6819,-36.1399,10.4581,2.2395,-3970.0712,-2774.6305,1195.4407,-45354.5671,46147.3386,-45354.5671,13.283,13.7924,1.0383,0.0,29.442,class2_2026_04_27_15_16_41.csv,train,background,,4.636669764148851,hard
132.095,413,0.661345,-20.494,-23.3612,9.621,-13.8678,-36.0461,22.1782,3.6205,-2454.5405,-2508.9689,-54.4285,-6637.9326,-2118.3388,-46090.9138,3.2877,13.8729,4.2196,0.0,33.109,class2_2026_04_27_15_31_02.csv,train,break,131.14,,positive
193.994,607,0.971247,-49.9,-37.4969,13.9972,-34.8063,-40.8203,6.0141,30.77,2644.1471,2085.4974,-558.6497,-41520.3793,41520.3793,-41520.3793,13.6124,12.9449,0.951,0.0,30.77,class2_2026_04_27_15_49_43.csv,train,background,,4.074297637071434,hard
129.223,404,0.646966,-13.484,-13.3686,2.2066,-13.8092,-25.9408,12.1317,6.494,1313.1225,-5617.0484,-6930.171,-3199.0596,-2045.4545,-3285.2665,2.4639,13.0325,5.2893,0.0,6.885,class2_2026_04_27_15_12_38.csv,train,break,129.22,,positive
135.924,425,0.680515,-20.209,-31.2291,13.2764,-23.6022,-39.201,15.5988,2.064,-2484.3596,3684.405,6168.7646,-1677.6197,45369.9091,-46537.6207,9.7466,13.5216,1.3873,0.958,29.691,class2_2026_04_27_15_41_16.csv,train,background,,6.370872167811393,hard
193.356,605,0.968053,-22.933,-32.5198,12.3734,-39.7061,-35.1925,-4.5136,28.485,-1482.4173,-1440.8101,41.6072,37205.3323,40210.0345,-37669.2806,12.845,13.2467,1.0313,1.914,28.485,class2_2026_04_27_15_24_25.csv,train,background,,-0.1490441579753108,random
126.032,394,0.63099,-16.558,-14.1613,2.4441,-14.8714,-13.1552,-1.7162,6.0265,-57.4884,-642.8666,-585.3782,-954.5439,-92.4765,-954.5439,0.2288,3.4028,14.8713,0.0,7.786,class2_2026_04_27_15_22_37.csv,train,bend,125.39,,positive
184.422,577,0.923324,-49.9,-37.3004,14.1134,-33.0479,-41.5556,8.5077,30.112,3810.257,3000.0714,-810.1856,-43766.4624,45167.7147,-43766.4624,13.5092,11.9242,0.8827,0.0,30.112,class2_2026_04_27_15_20_55.csv,train,background,,4.365135309505245,hard
131.138,410,0.656553,-14.738,-14.9028,2.2987,-10.8488,-24.8641,14.0153,3.806,-624.9734,-2884.949,-2259.9756,-2034.8502,-2034.8502,-4562.6959,3.1443,11.3551,3.6114,0.0,6.367,class1_2026_04_27_14_38_26.csv,train,break,131.78,,positive
88.701,277,0.444089,-21.134,-31.357,13.1871,-43.7051,-36.0893,-7.6158,30.157,4091.4126,-1853.3332,-5944.7458,3274.2962,45087.7759,-43388.2063,11.5985,13.8689,1.1958,1.915,30.157,class3_2026_05_14_13_10_59.csv,train,background,,4.9127672230291495,hard
