m,sample_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,event_no_in_file,gt_m,label,expected_length_m
52.008,162,0.260382,-16.017,-15.8958,0.6916,-14.7227,-16.7169,1.9942,1.3185,-211.7335,-99.1636,112.5698,-597.1803,-597.1803,-1225.4603,0.3668,0.2481,0.6764,0.0,2.206,class2_2026_04_27_15_49_00.csv,0,52.01,bend,199.737
127.628,399,0.63898,-8.019,-10.8967,2.8616,-16.0361,-18.7596,2.7235,8.738,1129.9158,-4714.0064,-5843.9222,584.6395,9514.1066,-2719.4357,2.2706,11.6517,5.1315,2.871,8.864,class2_2026_04_27_15_49_00.csv,1,127.63,connector,199.737
131.457,411,0.65815,-18.552,-21.185,10.3823,-12.9442,-34.1072,21.163,3.8055,-1398.8124,-2781.1698,-1382.3573,-2746.0831,-2416.8922,-49134.7994,3.1828,14.1839,4.4565,0.0,35.712,class2_2026_04_27_15_49_00.csv,2,131.46,break,199.737
70.833,221,0.354631,-15.46,-15.4249,0.6814,-14.6638,-16.3373,1.6735,0.8735,-79.5138,-130.3055,-50.7917,-255.4859,92.4765,-1899.5678,0.1901,0.3783,1.9899,0.0,2.168,class2_2026_04_27_15_38_41.csv,0,70.83,bend,199.737
131.457,411,0.65815,-17.784,-17.8664,2.4445,-12.7153,-24.7743,12.0589,4.3745,-1420.7132,-1102.4015,318.3118,-3902.8197,-2932.6019,-3902.8197,3.0973,9.0366,2.9176,0.0,7.141,class2_2026_04_27_15_38_41.csv,1,131.46,break,199.737
127.628,399,0.63898,-7.833,-10.693,2.7717,-15.7957,-15.3486,-0.4471,8.699,1186.0781,-2842.6105,-4028.6886,634.7962,9432.6019,-2753.9185,2.2324,4.212,1.8868,2.871,8.516,class2_2026_04_27_15_38_41.csv,2,127.63,connector,199.737
115.822,362,0.579873,-16.498,-16.2404,0.609,-14.9882,-17.0119,2.0237,1.4125,-236.1367,-114.4877,121.649,-485.895,-485.895,-670.8495,0.4701,0.3394,0.722,0.0,1.986,class2_2026_04_27_15_19_23.csv,0,115.82,bend,199.737
131.457,411,0.65815,-17.596,-17.5957,2.0351,-12.9963,-24.1416,11.1453,3.679,-1352.9369,-2684.2524,-1331.3156,-3362.0705,-2322.0742,-3362.0705,3.1363,9.1565,2.9196,0.0,6.02,class2_2026_04_27_15_19_23.csv,1,131.46,break,199.737
127.628,399,0.63898,-8.128,-11.0392,2.9627,-16.2198,-15.3847,-0.8351,8.814,1152.7761,-2601.778,-3754.5541,653.605,9815.047,-2789.9687,2.2912,4.0444,1.7652,2.871,9.14,class2_2026_04_27_15_19_23.csv,2,127.63,connector,199.737
132.095,413,0.661345,-17.145,-17.2574,2.1374,-10.9243,-35.2124,24.2881,3.212,-2455.773,-5062.0861,-2606.3131,-2620.6881,-2244.5141,-47572.1034,3.3249,14.7158,4.426,0.0,6.105,class1_2026_04_27_14_46_27.csv,0,132.09,break,199.737
