feature,importance
pre_std_db,0.10187147459285811
peak_width_m,0.09360860633289339
post_std_db,0.08822574489995194
loss_dB,0.07911293897012792
max_pre_derivative,0.07597975794499619
post_mean_db,0.07169983421839216
local_mean_db,0.06804421916077107
pre_mean_db,0.061291637674373345
local_std_db,0.059114775803093135
local_range_db,0.05583097765691131
db_at_event,0.05367690134633961
peak_above_bg_dB,0.051537688256908035
post_slope_dB_per_km,0.02942181641733603
min_post_derivative,0.029150080855158435
m_norm,0.024172383813218984
pre_slope_dB_per_km,0.021808681218863153
slope_change_dB_per_km,0.017360111094627213
derivative_at_event_dB_per_km,0.01055986211249791
post_to_pre_std_ratio,0.007532507630682037
