m,sample_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,source,event_no_in_file,gt_m,label
52.008,162,0.260382,-16.017,-15.8958,0.6916,-14.7227,-16.7169,1.9942,1.3185,-211.7335,-99.1636,112.5698,-597.1803,-597.1803,-1225.4603,0.3668,0.2481,0.6764,0.0,2.206,class2_2026_04_27_15_49_00.csv,manual_annotation,0,52.01,bend
127.628,399,0.63898,-8.019,-10.8967,2.8616,-16.0361,-18.7596,2.7235,8.738,1129.9158,-4714.0064,-5843.9222,584.6395,9514.1066,-2719.4357,2.2706,11.6517,5.1315,2.871,8.864,class2_2026_04_27_15_49_00.csv,manual_annotation,1,127.63,connector
131.457,411,0.65815,-18.552,-21.185,10.3823,-12.9442,-34.1072,21.163,3.8055,-1398.8124,-2781.1698,-1382.3573,-2746.0831,-2416.8922,-49134.7994,3.1828,14.1839,4.4565,0.0,35.712,class2_2026_04_27_15_49_00.csv,manual_annotation,2,131.46,break
162.725,509,0.814696,-49.9,-40.4566,13.3754,-34.9221,-38.8671,3.9449,29.975,-1388.5053,-1793.5921,-405.0867,-0.0,4887.1473,-44136.3683,13.4984,13.8775,1.0281,0.0,29.975,class2_2026_04_27_15_49_00.csv,hard_negative,0,,background
174.531,546,0.873804,-26.577,-29.1684,11.3209,-34.7833,-34.1756,-0.6077,6.4,2704.3802,-2291.0133,-4995.3936,37482.7618,37482.7618,-36556.4295,13.5665,12.8787,0.9493,0.0,30.351,class2_2026_04_27_15_49_00.csv,hard_negative,1,,background
154.111,482,0.77157,-49.9,-34.3212,13.9485,-34.3699,-31.6652,-2.7047,2.8085,-307.5562,-3030.014,-2722.4578,41619.8932,41619.8932,-44697.4969,13.9535,13.0105,0.9324,0.0,28.766,class2_2026_04_27_15_49_00.csv,hard_negative,2,,background
158.577,496,0.793929,-49.9,-32.1451,12.7256,-34.2929,-36.1612,1.8683,5.7525,263.5492,-3388.6849,-3652.234,34474.0935,41727.2759,-46663.0125,13.9866,13.8693,0.9916,0.0,29.771,class2_2026_04_27_15_49_00.csv,hard_negative,3,,background
35.736,111,0.178915,-14.427,-14.5879,0.1563,-14.5832,-14.5301,-0.0531,0.1935,-34.9396,-27.3651,7.5745,-59.5611,488.3633,-462.3824,0.1379,0.1487,1.0782,0.638,0.524,class2_2026_04_27_15_49_00.csv,stable_background,4,,background
182.827,572,0.915339,-49.9,-31.0423,13.4265,-34.6856,-34.573,-0.1126,5.953,2382.4092,-765.7463,-3148.1555,8920.0627,46598.1078,-43180.2539,13.6778,13.8553,1.013,0.0,30.162,class2_2026_04_27_15_49_00.csv,stable_background,5,,background
70.833,221,0.354631,-15.46,-15.4249,0.6814,-14.6638,-16.3373,1.6735,0.8735,-79.5138,-130.3055,-50.7917,-255.4859,92.4765,-1899.5678,0.1901,0.3783,1.9899,0.0,2.168,class2_2026_04_27_15_38_41.csv,manual_annotation,0,70.83,bend
131.457,411,0.65815,-17.784,-17.8664,2.4445,-12.7153,-24.7743,12.0589,4.3745,-1420.7132,-1102.4015,318.3118,-3902.8197,-2932.6019,-3902.8197,3.0973,9.0366,2.9176,0.0,7.141,class2_2026_04_27_15_38_41.csv,manual_annotation,1,131.46,break
127.628,399,0.63898,-7.833,-10.693,2.7717,-15.7957,-15.3486,-0.4471,8.699,1186.0781,-2842.6105,-4028.6886,634.7962,9432.6019,-2753.9185,2.2324,4.212,1.8868,2.871,8.516,class2_2026_04_27_15_38_41.csv,manual_annotation,2,127.63,connector
184.422,577,0.923324,-20.911,-36.9063,14.5282,-34.2624,-33.2595,-1.0029,4.378,910.6918,-1245.366,-2156.0578,-0.0,46420.0658,-45437.3088,14.0549,13.3684,0.9512,0.638,29.616,class2_2026_04_27_15_38_41.csv,hard_negative,0,,background
181.231,567,0.907348,-27.068,-34.5839,13.8149,-34.21,-34.1776,-0.0324,3.1285,804.7533,1069.7169,264.9636,-0.0,835.4248,-45576.8041,14.0617,14.101,1.0028,0.0,29.108,class2_2026_04_27_15_38_41.csv,hard_negative,1,,background
141.029,441,0.706073,-49.9,-35.544,13.2623,-31.4398,-36.6988,5.259,4.368,-1791.4636,-4326.5769,-2535.1133,26797.8072,26797.8072,-26797.8072,13.1094,13.4409,1.0253,0.0,29.386,class2_2026_04_27_15_38_41.csv,hard_negative,2,,background
165.916,519,0.830672,-49.9,-35.1423,13.4841,-36.4791,-36.6906,0.2115,20.513,1667.5095,3636.4919,1968.9824,-0.0,31238.2492,-44589.3448,13.5724,13.3685,0.985,0.0,30.371,class2_2026_04_27_15_38_41.csv,hard_negative,3,,background
149.644,468,0.749205,-49.9,-34.5204,13.7993,-42.4474,-27.9306,-14.5168,7.5555,1248.0378,-3191.9417,-4439.9796,42671.6933,42671.6933,-4249.2132,12.0374,10.1712,0.845,0.0,30.092,class2_2026_04_27_15_38_41.csv,stable_background,4,,background
