file,n_gt,n_pred,n_matched,n_missed,n_extra
2026_04_27_14_22_51.csv,0,1,0,0,1
2026_04_27_14_23_25.csv,1,1,1,0,0
2026_04_27_14_23_40.csv,1,1,1,0,0
2026_04_27_14_24_50.csv,1,1,1,0,0
2026_04_27_14_27_38.csv,1,2,1,0,1
2026_04_27_14_27_44.csv,1,1,1,0,0
2026_04_27_14_27_51.csv,1,1,1,0,0
24_04_2026_15_31_12.csvyjно.csv,1,1,1,0,0
24_04_202_15_31_12.csvyjно.csv,1,2,1,0,1
class4_2026_06_19_15_12_31.csv,3,2,1,2,1
class4_2026_06_19_15_12_37.csv,3,3,1,2,2
class4_2026_06_19_15_12_48.csv,3,4,3,0,1
class4_2026_06_19_15_12_56.csv,3,3,1,2,2
class4_2026_06_19_15_13_04.csv,3,3,1,2,2
class4_2026_06_19_15_13_41.csv,2,3,2,0,1
class4_2026_06_19_15_13_55.csv,2,3,2,0,1
class4_2026_06_19_15_14_31.csv,2,5,1,1,4
class4_2026_06_19_15_14_43.csv,4,4,2,2,2
class4_2026_06_19_15_14_54.csv,3,4,3,0,1
class4_2026_06_19_15_15_06.csv,3,4,3,0,1
class4_2026_06_19_15_15_19.csv,3,5,2,1,3
class4_2026_06_19_15_15_32.csv,3,5,2,1,3
class4_2026_06_19_15_15_49.csv,2,6,1,1,5
class4_2026_06_19_15_16_00.csv,3,2,1,2,1
class4_2026_06_19_15_16_35.csv,4,4,4,0,0
class4_2026_06_19_15_16_47.csv,4,5,4,0,1
class4_2026_06_19_15_17_19.csv,3,4,3,0,1
class4_2026_06_19_15_17_30.csv,2,2,2,0,0
class4_2026_06_19_15_17_46.csv,3,3,1,2,2
class4_2026_06_19_15_18_01.csv,3,4,3,0,1
class4_2026_06_19_15_18_15.csv,1,2,1,0,1
class4_2026_06_19_15_18_27.csv,3,8,1,2,7
class4_2026_06_19_15_18_37.csv,2,2,2,0,0
class4_2026_06_19_15_18_46.csv,3,3,3,0,0
class4_2026_06_19_15_18_52.csv,3,3,3,0,0
class4_2026_06_19_15_21_23.csv,3,2,1,2,1
class4_2026_06_19_15_21_36.csv,2,12,1,1,11
class4_2026_06_19_15_22_34.csv,3,2,1,2,1
class4_2026_06_19_15_22_47.csv,3,3,3,0,0
class4_2026_06_19_15_22_55.csv,3,10,2,1,8
class4_2026_06_19_15_23_04.csv,3,2,2,1,0
class4_2026_06_19_15_23_14.csv,3,3,3,0,0
class4_2026_06_19_15_23_28.csv,3,2,1,2,1
class4_2026_06_19_15_23_44.csv,1,1,1,0,0
class4_2026_06_19_15_23_58.csv,4,5,4,0,1
class4_2026_06_19_15_24_11.csv,4,3,2,2,1
class4_2026_06_19_15_24_42.csv,3,2,1,2,1
class4_2026_06_19_15_24_52.csv,4,4,2,2,2
class4_2026_06_19_15_25_04.csv,2,2,2,0,0
class4_2026_06_19_15_25_33.csv,3,4,2,1,2
class4_2026_06_19_15_26_16.csv,3,3,3,0,0
class4_2026_06_19_15_26_31.csv,3,5,2,1,3
class4_2026_06_19_15_26_42.csv,4,3,2,2,1
class4_2026_06_19_15_26_59.csv,4,3,2,2,1
class4_2026_06_19_15_27_28.csv,3,4,1,2,3
class4_2026_06_19_15_27_44.csv,2,2,2,0,0
class4_2026_06_19_15_28_18.csv,4,3,2,2,1
class4_2026_06_19_15_28_44.csv,2,2,2,0,0
class4_2026_06_19_15_28_55.csv,2,2,2,0,0
