file,true_class,pred_class,slope_dB_per_km,channel_halfwidth_dB,noise_dB,valid_length_m,valid_fraction,step_drop_dB,step_location_m,end_reflect_dB,n_anom_below,n_anom_above
class1_2026_04_27_14_36_42.csv,1,3,-4.63258827069488,0.17099972549008846,0.06839989019603539,63.8,0.425,0.27,20.4,0.02,7,12
class1_2026_04_27_14_36_49.csv,1,3,-5.131277749612129,0.18508322100946323,0.07403328840378529,60.9,0.406,0.26,20.4,-0.02,6,9
class1_2026_04_27_14_36_54.csv,1,3,-4.663133701825396,0.17726538732249733,0.07090615492899893,63.2,0.421,0.44,20.1,0.01,8,5
class1_2026_04_27_14_37_00.csv,1,3,-4.986766959186523,0.18595591808713274,0.0743823672348531,61.9,0.413,0.19,20.1,0.07,6,9
class1_2026_04_27_14_37_06.csv,1,3,-4.5840262675366015,0.20884344122329718,0.08353737648931887,63.5,0.423,0.29,20.1,0.05,5,2
class1_2026_04_27_14_37_11.csv,1,3,-5.253345154448462,0.2084503635647601,0.08338014542590404,60.3,0.402,0.36,20.4,-0.03,8,2
class1_2026_04_27_14_37_17.csv,1,3,-4.169278401428365,0.1757344416703296,0.07029377666813183,63.5,0.423,0.34,20.1,-0.02,8,8
class1_2026_04_27_14_37_22.csv,1,3,-4.669024524051359,0.202168678656468,0.0808674714625872,64.8,0.432,0.31,20.7,-0.02,8,2
class1_2026_04_27_14_37_28.csv,1,3,-4.7065158858373275,0.15625498487479816,0.06250199394991926,63.5,0.423,0.29,20.4,0.01,9,8
class1_2026_04_27_14_37_34.csv,1,3,-4.213863512275816,0.17587513776058594,0.07035005510423438,63.8,0.425,0.23,19.8,0.05,8,4
class1_2026_04_27_14_37_39.csv,1,3,-4.575798414141122,0.16098650050983765,0.06439460020393506,66.0,0.44,0.27,20.7,0.04,7,4
class1_2026_04_27_14_37_46.csv,1,3,-4.133819195029552,0.19283124395916826,0.0771324975836673,64.1,0.428,0.27,20.7,0.03,7,6
class1_2026_04_27_14_37_52.csv,1,3,-4.363780174402319,0.20431110057181928,0.08172444022872771,65.4,0.436,0.24,20.4,0.01,7,2
class1_2026_04_27_14_38_03.csv,1,3,-3.7108376046054254,0.20250660419435865,0.08100264167774346,48.2,0.321,0.15,39.6,0.06,0,0
class1_2026_04_27_14_38_09.csv,1,3,-3.9564027792248044,0.195459947440246,0.0781839789760984,66.4,0.442,0.3,20.1,-0.0,7,4
class1_2026_04_27_14_38_15.csv,1,3,-4.12984280190021,0.18871429719486302,0.07548571887794521,66.4,0.442,0.23,20.1,-0.03,8,1
class1_2026_04_27_14_38_20.csv,1,3,-4.741704664030531,0.16191861546805023,0.06476744618722009,63.8,0.425,0.39,20.1,-0.08,7,8
class1_2026_04_27_14_38_26.csv,1,3,-4.314264156783857,0.16376475186157008,0.06550590074462803,64.5,0.43,0.32,20.1,-0.01,7,9
class1_2026_04_27_14_38_31.csv,1,3,-4.837613475959397,0.20004221625017732,0.08001688650007092,65.4,0.436,0.37,20.1,0.01,7,4
class1_2026_04_27_14_38_38.csv,1,3,-5.002949878940646,0.18327193079050633,0.07330877231620253,65.1,0.434,0.27,20.1,0.04,7,2
class1_2026_04_27_14_38_57.csv,1,3,-3.9351606627095013,0.15845351798022045,0.06338140719208818,65.1,0.434,0.38,21.1,-0.02,8,6
class1_2026_04_27_14_39_05.csv,1,3,-4.831778141842919,0.20570912441040856,0.08228364976416343,60.9,0.406,0.34,20.1,-0.06,9,2
